category,repository,github_url,primary_language,license,stars_2026_07_22,activity_snapshot,ai_brain_role,directional_fit_100,disposition,notes
focused_library,jdepoix/youtube-transcript-api,https://github.com/jdepoix/youtube-transcript-api,Python,MIT,7948,pushed 2026-05,mature behavior oracle or Python sidecar,82,candidate,"Best-established focused implementation; unofficial YouTube path; cloud blocking risk"
focused_library,ericmmartin/youtube-transcript-plus,https://github.com/ericmmartin/youtube-transcript-plus,TypeScript,"MIT in package; GitHub not detected",150,pushed 2026-03,primary in-process Node research adapter,85,candidate,"Typed errors; track provenance; retries; abort; cache hooks; live text normalization differed from oracle"
focused_library,devhims/youtube-caption-extractor,https://github.com/devhims/youtube-caption-extractor,TypeScript,MIT,156,pushed 2026-07,lightweight Node shadow adapter,80,candidate,"Live output matched Python oracle; requested language can fall back to first track"
focused_library,Kakulukian/youtube-transcript,https://github.com/Kakulukian/youtube-transcript,TypeScript,"MIT in package; GitHub not detected",576,pushed 2026-04,popular minimal Node comparison,65,secondary,"High npm use and live pass; no tests or CI found; recurring production issues"
focused_library,trldvix/youtube-transcript-api,https://github.com/trldvix/youtube-transcript-api,Java,MIT,41,pushed 2026-07,Java service alternative,72,candidate_for_java,"Tests and workflows present; cross-runtime cost for AI Brain"
focused_library,horiagug/youtube-transcript-api-go,https://github.com/horiagug/youtube-transcript-api-go,Go,MIT,22,pushed 2026-03,Go service alternative,61,secondary,"Small ecosystem"
focused_library,0x6a69616e/youtube-transcript-api,https://github.com/0x6a69616e/youtube-transcript-api,JavaScript,MIT,97,pushed 2025-06,alternative Node implementation,55,secondary,"Less current evidence than the leading Node packages"
focused_library,BobLd/youtube-transcript-api-sharp,https://github.com/BobLd/youtube-transcript-api-sharp,C#,MIT,27,stale since 2021,.NET historical implementation,35,deprioritize,"Stale"
focused_library,vietanhdang/youtube-transcript-api-sharp,https://github.com/vietanhdang/youtube-transcript-api-sharp,C#,MIT,1,active 2026,.NET implementation,48,secondary,"Active but negligible adoption"
focused_library,akinsella/yt-transcript-rs,https://github.com/akinsella/yt-transcript-rs,Rust,MIT,8,active at snapshot,Rust implementation,46,secondary,"Small evidence base"
focused_library,rudrodip/ytranscript,https://github.com/rudrodip/ytranscript,Rust,MIT,7,stale since 2024,Rust implementation,32,deprioritize,"Stale"
focused_library,xamgore/youtube-captions,https://github.com/xamgore/youtube-captions,Rust,not detected,12,stale since 2023,Rust caption implementation,25,deprioritize,"No detected license and stale"
focused_library,MrMySQL/youtube-transcript,https://github.com/MrMySQL/youtube-transcript,PHP,not detected,20,pushed 2026-05,PHP implementation,40,deprioritize,"No detected license"
focused_library,f-person/youtube_caption_scraper,https://github.com/f-person/youtube_caption_scraper,Dart,MIT,19,active 2026,Dart implementation,48,secondary,"Language-specific alternative"
focused_library,pandaxbacon/youtube-transcript-dart,https://github.com/pandaxbacon/youtube-transcript-dart,Dart,not detected,1,active at snapshot,Dart implementation,28,deprioritize,"No detected license; negligible adoption"
focused_library,skainguyen1412/swift-youtube-transcript,https://github.com/skainguyen1412/swift-youtube-transcript,Swift,MIT,22,active at snapshot,Swift implementation,48,secondary,"Mobile or Swift-specific alternative"
focused_library,adamwulf/ytt,https://github.com/adamwulf/ytt,Swift,MIT,3,active 2026,Swift CLI/library,43,secondary,"Small project"
focused_library,rajat-mehra05/youtube-transcript-api-js,https://github.com/rajat-mehra05/youtube-transcript-api-js,TypeScript,MIT,5,pushed 2026-07,small Node alternative,42,deprioritize,"Too little evidence to displace leaders"
focused_library,nadimtuhin/ytranscript,https://github.com/nadimtuhin/ytranscript,TypeScript,MIT,6,pushed 2026-07,small Node alternative,42,deprioritize,"Too little evidence to displace leaders"
focused_library,Zibri/youtube_transcript,https://github.com/Zibri/youtube_transcript,C,not detected,24,active at snapshot,protocol reference,20,lab_reference,"Direct internal iOS API use; no detected license"
focused_library,stadia/youtube-transcript-rb,https://github.com/stadia/youtube-transcript-rb,Ruby,MIT,4,active 2026,Ruby implementation,42,secondary,"Small language-specific alternative"
focused_library,aliencube/youtube-subtitles-extractor,https://github.com/aliencube/youtube-subtitles-extractor,C#,MIT,10,active at snapshot,.NET subtitle extractor,44,secondary,"Inspired by devhims implementation"
focused_library,benwiley4000/youtube-vtt,https://github.com/benwiley4000/youtube-vtt,JavaScript,MIT,49,stale since 2023,browser-based VTT extraction,30,deprioritize,"Puppeteer dependency; no tests; stale"
focused_library,bernorieder/youtube-transcript-scraper,https://github.com/bernorieder/youtube-transcript-scraper,Python,not detected,112,stale since 2024,browser automation reference,25,deprioritize,"Selenium; no tests; no detected license"
focused_library,algolia/youtube-captions-scraper,https://github.com/algolia/youtube-captions-scraper,JavaScript,"MIT in package; GitHub not detected",333,stale since 2024,historical Node implementation,30,reject,"Returned zero segments on both captioned live fixtures"
general_extractor,yt-dlp/yt-dlp,https://github.com/yt-dlp/yt-dlp,Python,Unlicense,179421,pushed 2026-07,subtitle discovery and authorized media sidecar,68,role_winner,"Excellent extractor maintenance; not the normalized transcript primary"
general_extractor,ytdl-org/youtube-dl,https://github.com/ytdl-org/youtube-dl,Python,Unlicense,140770,pushed 2026-02,historical general extractor,48,secondary,"Broader and generally behind yt-dlp for this role"
general_extractor,LuanRT/YouTube.js,https://github.com/LuanRT/YouTube.js,TypeScript,MIT,5063,active 2026,broad metadata and protocol client,50,deprioritize_for_transcripts,"Transcript call returned HTTP 400 on both captioned fixtures"
general_extractor,Tyrrrz/YoutubeExplode,https://github.com/Tyrrrz/YoutubeExplode,C#,MIT,3698,active 2026,.NET caption and media client,68,candidate_for_dotnet,"Strong .NET alternative; cross-runtime cost for AI Brain"
general_extractor,TeamNewPipe/NewPipeExtractor,https://github.com/TeamNewPipe/NewPipeExtractor,Java,GPL-3.0,1919,active 2026,Android/general extractor,48,reference,"Large scope and reciprocal license"
general_extractor,iv-org/invidious,https://github.com/iv-org/invidious,Crystal,AGPL-3.0,20598,active 2026,alternative YouTube frontend/server,45,reference,"Heavy service and AGPL obligations"
general_extractor,TeamPiped/Piped-Backend,https://github.com/TeamPiped/Piped-Backend,Java,AGPL-3.0,168,active 2026,alternative YouTube backend,42,reference,"Heavy service and AGPL obligations"
general_extractor,kkdai/youtube,https://github.com/kkdai/youtube,Go,MIT,3913,active 2026,Go download/extraction library,52,secondary,"Broad media extractor rather than transcript-normalization leader"
general_extractor,pytube/pytube,https://github.com/pytube/pytube,Python,Unlicense,13153,stale since 2024,Python media/caption extractor,35,deprioritize,"Stale with large open-issue backlog"
general_extractor,distubejs/ytdl-core,https://github.com/distubejs/ytdl-core,JavaScript,MIT,516,archived,Node media extractor,25,deprioritize,"Archived"
general_extractor,fent/node-ytdl-core,https://github.com/fent/node-ytdl-core,JavaScript,MIT,4733,limited activity,Node media/info extractor,38,deprioritize,"Primarily download/info; not a focused transcript engine"
mcp_service,jkawamoto/mcp-youtube-transcript,https://github.com/jkawamoto/mcp-youtube-transcript,Python,MIT,458,pushed 2026-07,mature focused MCP wrapper,68,role_winner,"Pagination; transcript timing; video info; languages; Docker; inherits underlying unofficial API ceiling"
mcp_service,kimtaeyoon83/mcp-server-youtube-transcript,https://github.com/kimtaeyoon83/mcp-server-youtube-transcript,TypeScript,MIT,573,pushed 2026-07,protocol research MCP,36,lab_reference,"Source describes hard-coded client and hand-encoded protobuf as PoToken enforcement bypass; no tests or CI found"
mcp_service,sinco-lab/mcp-youtube-transcript,https://github.com/sinco-lab/mcp-youtube-transcript,TypeScript,MIT,34,active 2026,focused TypeScript MCP,60,secondary,"Language; timestamps; metadata; diagnostics; custom undocumented fetch"
mcp_service,samson-art/transcriptor-mcp,https://github.com/samson-art/transcriptor-mcp,TypeScript,MIT,18,pushed 2026-07,Docker MCP and REST research service,65,candidate,"Multiple platforms; yt-dlp; Redis; metrics; Whisper fallback; low adoption"
mcp_service,cottongeeks/ytt-mcp,https://github.com/cottongeeks/ytt-mcp,Python,MIT,71,active at snapshot,focused MCP wrapper,50,secondary,"Smaller alternative"
mcp_service,adhikasp/mcp-youtube,https://github.com/adhikasp/mcp-youtube,Python,MIT,50,active at snapshot,YouTube MCP wrapper,48,secondary,"Smaller alternative"
mcp_service,mybuddymichael/youtube-transcript-mcp,https://github.com/mybuddymichael/youtube-transcript-mcp,TypeScript,MIT,59,active at snapshot,focused MCP wrapper,50,secondary,"Smaller alternative"
mcp_service,ergut/youtube-transcript-mcp,https://github.com/ergut/youtube-transcript-mcp,TypeScript,MIT,30,active at snapshot,focused MCP wrapper,47,secondary,"Smaller alternative"
mcp_service,realiti4/youtube-context-mcp,https://github.com/realiti4/youtube-context-mcp,Python,MIT,2,active at snapshot,YouTube context MCP,35,deprioritize,"Negligible adoption"
mcp_service,Alatar86/ironbeard-mcp-youtube,https://github.com/Alatar86/ironbeard-mcp-youtube,Rust,MIT,5,active at snapshot,Rust YouTube MCP,36,deprioritize,"Small evidence base"
mcp_service,kyong0612/youtube-mcp,https://github.com/kyong0612/youtube-mcp,Go,MIT,4,active at snapshot,Go YouTube MCP,36,deprioritize,"Small evidence base"
mcp_service,hancengiz/youtube-transcript-mcp,https://github.com/hancengiz/youtube-transcript-mcp,,not detected,13,active at snapshot,small transcript MCP,25,deprioritize,"No detected license"
mcp_service,SeanPedersen/youtube-transcript-mcp,https://github.com/SeanPedersen/youtube-transcript-mcp,,not detected,7,active at snapshot,small transcript MCP,23,deprioritize,"No detected license"
mcp_service,lucasliet/youtube-transcript-mcp,https://github.com/lucasliet/youtube-transcript-mcp,,not detected,4,active at snapshot,small transcript MCP,22,deprioritize,"No detected license"
mcp_service,Codymwon/open-webtools-mcp,https://github.com/Codymwon/open-webtools-mcp,,not detected,0,active at snapshot,generic web MCP with YouTube support,15,deprioritize,"No detected license or adoption"
mcp_service,egoist/fetch-mcp,https://github.com/egoist/fetch-mcp,TypeScript,"MIT in package",156,stale since 2025,generic fetch MCP with transcript support,35,deprioritize,"No tests or CI found; stale"
mcp_service,0xchamin/mcptube,https://github.com/0xchamin/mcptube,Python,MIT,142,active 2026,knowledge and vision MCP,58,reference,"Alpha; Python 3.12; broad yt-dlp and LLM pipeline"
mcp_service,ShellyDeng08/youtube-connector-mcp,https://github.com/ShellyDeng08/youtube-connector-mcp,Python,"MIT in package",72,active 2026,Data API plus transcript MCP,58,secondary,"Useful combined metadata/transcript surface; inherits unofficial transcript dependency"
mcp_service,pauling-ai/youtube-mcp-server,https://github.com/pauling-ai/youtube-mcp-server,Python,MIT,12,active at snapshot,official YouTube operations plus transcript tool,55,secondary,"Broader OAuth Data/Analytics/Reporting service"
mcp_service,coyaSONG/youtube-mcp-server,https://github.com/coyaSONG/youtube-mcp-server,JavaScript,MIT,15,active 2026,YouTube.js plus Google APIs MCP,42,deprioritize_for_transcripts,"YouTube.js transcript reliability risk"
mcp_service,JangHyuckYun/mcp-youtube-intelligence,https://github.com/JangHyuckYun/mcp-youtube-intelligence,Python,Apache-2.0,49,active at snapshot,YouTube analysis MCP,48,secondary,"Broader intelligence workflow"
mcp_service,guimatheus92/mcp-video-analyzer,https://github.com/guimatheus92/mcp-video-analyzer,TypeScript,MIT,26,active 2026,transcript frame and OCR MCP,49,reference,"Broader multimodal analysis service"
product_pipeline,lifesized/youtube-transcriber,https://github.com/lifesized/youtube-transcriber,JavaScript,AGPL-3.0,24,pushed 2026-07,full product and extension reference,62,role_winner_reference,"Queue; dedupe; SQLite; extension; MCP; exports; AGPL and early-stage"
product_pipeline,kaya70875/ytfetcher,https://github.com/kaya70875/ytfetcher,Python,"MIT in package",81,active 2026,bulk channel playlist and transcript ingestion,66,role_winner,"Concurrency; cache; retry; proxy; wraps youtube-transcript-api and yt-dlp"
product_pipeline,steipete/summarize,https://github.com/steipete/summarize,TypeScript,MIT,6467,pushed 2026-07,architecture and product reference,74,role_winner_reference,"Excellent layered fallback design and tests; Node 24 and much broader scope"
product_pipeline,Panniantong/Agent-Reach,https://github.com/Panniantong/Agent-Reach,Python,MIT,59233,active 2026,broad agent content reach tool,40,reference,"YouTube path is mainly a yt-dlp wrapper"
product_pipeline,AeternaLabsHQ/pullmd,https://github.com/AeternaLabsHQ/pullmd,JavaScript,AGPL-3.0,197,active 2026,URL and file to Markdown REST/MCP,43,reference,"Broad service; AGPL"
product_pipeline,jimmc414/onefilellm,https://github.com/jimmc414/onefilellm,Python,MIT,1998,active 2026,content bundling pipeline,48,reference,"Uses youtube-transcript-api and yt-dlp; broader than transcript extraction"
product_pipeline,ZeroPointRepo/youtube-skills,https://github.com/ZeroPointRepo/youtube-skills,,MIT,342,active 2026,agent skills and wrappers,42,reference,"Workflow layer rather than core extractor"
product_pipeline,sahajamit/VidSnatch,https://github.com/sahajamit/VidSnatch,Python,not detected,23,active at snapshot,video extraction pipeline,25,deprioritize,"No detected license"
product_pipeline,zlxlabs/VideoTranscriptAPI,https://github.com/zlxlabs/VideoTranscriptAPI,Python,PolyForm Noncommercial,193,active 2026,FastAPI multi-fallback transcript service,60,reference_only,"Large test suite; noncommercial license blocks normal commercial integration"
product_pipeline,mongj/youtube-transcriber-api,https://github.com/mongj/youtube-transcriber-api,Python,MIT,30,archived 2024,transcriber API,25,deprioritize,"Archived; high fork count does not offset staleness"
product_pipeline,venuv/langchain_yt_tools,https://github.com/venuv/langchain_yt_tools,Python,GPL-3.0,76,stale since 2023,LangChain YouTube tools,28,deprioritize,"Stale and GPL"
product_pipeline,jxnl/youtubechapters-backend,https://github.com/jxnl/youtubechapters-backend,Python,MIT,75,stale since 2023,chapter generation backend,28,deprioritize,"Stale; transcript is an input to a broader app"
product_pipeline,Infatoshi/ytsearch,https://github.com/Infatoshi/ytsearch,Python,not detected,43,active 2026,YouTube search and transcript workflow,30,deprioritize,"No detected license"
product_pipeline,Dicklesworthstone/bulk_transcribe_youtube_videos_from_playlist,https://github.com/Dicklesworthstone/bulk_transcribe_youtube_videos_from_playlist,Python,MIT,685,pushed 2025,playlist Whisper pipeline,55,authorized_fallback,"Useful only when media transcription is authorized"
product_pipeline,Ebrizzzz/Youtube-playlist-to-formatted-text,https://github.com/Ebrizzzz/Youtube-playlist-to-formatted-text,Python,MIT,577,active 2026,desktop playlist to formatted book pipeline,48,reference,"Broader Gemini desktop workflow"
product_pipeline,forrestchang/youtube-reader,https://github.com/forrestchang/youtube-reader,TypeScript,not detected,29,active at snapshot,API yt-dlp and Whisper reader,28,deprioritize,"No detected license"
product_pipeline,danielmiessler/yt,https://github.com/danielmiessler/yt,Go,not detected,117,active at snapshot,YouTube content workflow,30,deprioritize,"No detected license"
product_pipeline,BayramAnnakov/youtube-playlist-to-markdown,https://github.com/BayramAnnakov/youtube-playlist-to-markdown,Python,MIT,17,active at snapshot,playlist Markdown export,40,secondary,"Narrow bulk workflow"
product_pipeline,zaidkx37/tubescrape,https://github.com/zaidkx37/tubescrape,Python,MIT,14,active at snapshot,YouTube scrape workflow,38,secondary,"Small project"
product_pipeline,KIRVO-REPORTING/video-to-notes,https://github.com/KIRVO-REPORTING/video-to-notes,Python,MIT,2,active at snapshot,video notes pipeline,25,deprioritize,"Negligible adoption"
product_pipeline,div197/BOB-Youtube,https://github.com/div197/BOB-Youtube,Python,MIT,2,active at snapshot,YouTube processing workflow,24,deprioritize,"Negligible adoption"
product_pipeline,Enablement-Engineering/gobbler,https://github.com/Enablement-Engineering/gobbler,Python,MIT,4,active 2026,content ingestion workflow,30,deprioritize,"Small project"
product_pipeline,zaidmukaddam/youtube-transcripts-machine,https://github.com/zaidmukaddam/youtube-transcripts-machine,TypeScript,MIT,508,limited history,hosted browser-agent transcript extraction,25,reject,"Stagehand BrowserBase and paid model keys add cost nondeterminism fragility and policy risk"
browser_local,kazuki-sf/YouTube_Summary_with_ChatGPT,https://github.com/kazuki-sf/YouTube_Summary_with_ChatGPT,JavaScript,MIT,864,stale since 2023,local extension reference,38,reference,"User-browser pattern; stale and broader summarization scope"
browser_local,mrslbt/rippr,https://github.com/mrslbt/rippr,JavaScript,MIT,4,active 2026,local extension reference,43,reference,"Local user-directed pattern; tiny project"
browser_local,helioLJ/youtube-transcript-copier,https://github.com/helioLJ/youtube-transcript-copier,JavaScript,MIT,11,active at snapshot,local transcript copy extension,42,reference,"Prefer this posture over server-side login; small evidence base"
browser_local,amirthfultehrani/Youtube-Transcript-Copier,https://github.com/amirthfultehrani/Youtube-Transcript-Copier,JavaScript,MIT,19,active at snapshot,local userscript reference,42,reference,"User-directed transcript copying"
browser_local,andresz74/youtube-transcript-extension,https://github.com/andresz74/youtube-transcript-extension,JavaScript,not detected,10,active 2026,local extension reference,30,deprioritize,"No detected license"
browser_local,vedran-/YouTube-Transcript-Assistant,https://github.com/vedran-/YouTube-Transcript-Assistant,JavaScript,MIT,1,active at snapshot,browser-session reference,36,reference,"Explicitly uses local browser session; negligible adoption"
browser_local,rishabhk571/youtube-transcript-pdf-exporter,https://github.com/rishabhk571/youtube-transcript-pdf-exporter,JavaScript,MIT,2,active at snapshot,local transcript export reference,34,reference,"Output-specific small tool"
browser_local,withLinda/youtube-closed-caption-tool,https://github.com/withLinda/youtube-closed-caption-tool,JavaScript,not detected,5,active at snapshot,browser-console caption reference,25,deprioritize,"No detected license; manual console workflow"
vendor_example,Youtube-Transcript-Dev/Youtube-Transcript-API,https://github.com/Youtube-Transcript-Dev/Youtube-Transcript-API,,MIT,7,active at snapshot,proprietary API documentation,20,vendor_docs,"Not an open-source extraction engine"
vendor_example,ScrapingBee/youtube-scraper-api,https://github.com/ScrapingBee/youtube-scraper-api,,not assessed,29,active at snapshot,commercial scraping API example,20,vendor_docs,"Vendor documentation/example rather than reusable extraction engine"
vendor_example,mkurecka/supadata-mcp,https://github.com/mkurecka/supadata-mcp,,not assessed,,active at snapshot,Supadata vendor wrapper,18,vendor_wrapper,"Depends on external proprietary service"
vendor_example,johnisanerd/Apify-Youtube-Transcripts-API,https://github.com/johnisanerd/Apify-Youtube-Transcripts-API,,not assessed,,active at snapshot,Apify actor example,18,vendor_wrapper,"Depends on external platform"
vendor_example,SubDownload/subdownload-mcp,https://github.com/SubDownload/subdownload-mcp,,not assessed,,active at snapshot,SubDownload vendor MCP,18,vendor_wrapper,"Depends on external proprietary service"
asr_fallback,openai/whisper,https://github.com/openai/whisper,Python,MIT,105383,active at snapshot,authorized-media ASR baseline,70,authorized_fallback,"Not a public-caption extractor"
asr_fallback,SYSTRAN/faster-whisper,https://github.com/SYSTRAN/faster-whisper,Python,MIT,24434,active at snapshot,high-throughput authorized-media ASR,76,authorized_fallback,"Not a public-caption extractor"
asr_fallback,ggml-org/whisper.cpp,https://github.com/ggml-org/whisper.cpp,C++,MIT,52094,active at snapshot,portable local authorized-media ASR,78,role_winner_authorized_fallback,"Not a public-caption extractor"
asr_fallback,m-bain/whisperX,https://github.com/m-bain/whisperX,Python,BSD-2-Clause,23174,active at snapshot,aligned and diarized authorized-media ASR,73,authorized_fallback,"Not a public-caption extractor"
asr_fallback,Vaibhavs10/insanely-fast-whisper,https://github.com/Vaibhavs10/insanely-fast-whisper,Python,Apache-2.0,12993,active at snapshot,fast authorized-media ASR wrapper,65,authorized_fallback,"Not a public-caption extractor"
asr_fallback,jianfch/stable-ts,https://github.com/jianfch/stable-ts,Python,MIT,2276,archived,stable timestamp ASR tooling,38,deprioritize,"Archived; not a public-caption extractor"
asr_fallback,linto-ai/whisper-timestamped,https://github.com/linto-ai/whisper-timestamped,Python,AGPL-3.0,2828,active at snapshot,timestamped authorized-media ASR,55,authorized_fallback_reference,"AGPL; not a public-caption extractor"
asr_fallback,zackees/transcribe-anything,https://github.com/zackees/transcribe-anything,Python,MIT,1389,active at snapshot,general authorized-media transcription,58,authorized_fallback,"Not a public-caption extractor"
asr_fallback,kadirnar/whisper-plus,https://github.com/kadirnar/whisper-plus,Python,Apache-2.0,1956,active at snapshot,broad Whisper pipeline,55,authorized_fallback,"Not a public-caption extractor"
asr_fallback,chidiwilliams/buzz,https://github.com/chidiwilliams/buzz,Python,MIT,20275,active at snapshot,desktop local transcription,55,authorized_fallback_reference,"Desktop product; not a public-caption extractor"
asr_fallback,thewh1teagle/vibe,https://github.com/thewh1teagle/vibe,Rust,MIT,6821,active at snapshot,desktop local transcription,54,authorized_fallback_reference,"Desktop product; not a public-caption extractor"
