category,repository,stars,license,pushed_at,verification_depth,implementation_shape,extraction_mechanism,manifest_v3,permissions_posture,test_evidence,ai_brain_role,disposition,notes
focused_extension,yniijia/subtidex,5,MIT,2026-06-29,deep_clone,Chrome extension,"Visible transcript-panel DOM with modern and legacy renderers; virtualized scrolling; player/caption fallback",yes,"activeTab scripting downloads storage plus YouTube host","Packaging check and ZIP build passed; no behavioral test suite found",Virtualized DOM and selector patterns,selective_reference,"Useful DOM resilience; do not copy its page-context and caption-URL fallback into the default path"
focused_extension,ANcpLua/yt-transcript,0,MIT,2026-07-19,deep_clone,MV3 side-panel extension,"MAIN-world fetch/XHR interception; player response; timedtext; InnerTube clients; optional in-browser ASR",yes,"sidePanel activeTab storage webNavigation tabCapture offscreen plus YouTube and Vimeo hosts","Lint build and 3 manifest tests passed; 4 Playwright extension/fixture tests passed",MV3 fixture and bridge test architecture,reference_only,"Technically strong but over-scoped; undocumented clients and continuous interception are not the recommended default"
focused_extension,labib2002/Briefly,4,MIT,2026-07-10,deep_clone,MV3 side-panel extension,"Cache and passive interception followed by active caption fetch DOM panel background InnerTube and hidden queue-tab fallbacks",yes,"10 permissions including DNR tabs webNavigation unlimitedStorage plus YouTube and AI-provider hosts","TypeScript and WXT build passed; repository states no automated tests; npm audit found 19 issues including 4 critical",Failure taxonomy health diagnostics and kill-switch patterns,reference_only,"Excellent resilience map but hidden navigation remote selector controls broad permissions and dependency debt are a poor AI Brain fit"
focused_extension,BitYoungjae/just-copy-subtitles-for-youtube,1,MIT,2026-06-30,deep_clone,WXT Chrome and Firefox extension,"Explicit-click MAIN-world player response; active track selection; session-bound timedtext and PoToken-aware URLs",yes,"scripting and clipboardWrite plus YouTube host","15 core tests and Chrome MV3 build passed",Typed transcript core and provenance modeling,selective_reference,"Minimal and well tested; timedtext and token-bound URL handling remain undocumented and policy-sensitive"
focused_extension,searchpcc/tube2md,1,MIT,2026-04-27,deep_clone,MV3 popup extension,"Explicit-click visible transcript-panel DOM; modern and legacy renderers; multilingual panel opening; chapters and speaker turns",yes,"scripting activeTab plus YouTube host","6 parser tests and ESLint passed; npm audit found 3 high issues",Primary DOM-first code seed,preferred_reference,"Best fit for reimplementation inside the existing Brain extension; retain MIT notice if code is copied"
focused_extension,dpolivaev/video-chapters-extension,3,GPL-3.0,2025-12-18,deep_clone,MV3 content-script extension,"Transcript-panel DOM followed by AI chapter generation",yes,"activeTab storage tabs plus YouTube and AI-provider hosts","34 suites and 593 tests passed; Chrome build passed; npm audit found 31 issues including 3 critical",Test architecture and edge-case catalog,patterns_only,"Exceptional tests but GPL code and older transcript selectors make direct reuse unattractive"
focused_extension,krishnakanthb13/yt-transcript-studio,0,GPL-3.0,2026-06-17,deep_clone,MV3 side-panel extension,"YouTube transcript DOM parsing with language search export and Shorts support",yes,"activeTab scripting sidePanel storage downloads plus YouTube hosts","21 parser and format tests passed",Transcript UX and parser fixtures,patterns_only,"Small and current but GPL-3.0 and low adoption"
focused_extension,rishabhk571/youtube-transcript-pdf-exporter,2,MIT,2026-04-06,deep_clone,MV3 extension,"Hybrid current player response and transcript-panel DOM with PDF export",yes,"activeTab scripting downloads plus YouTube host","No automated tests found",Hybrid extraction comparison,reference_only,"Useful compact hybrid example but less tested than the leaders"
focused_extension,mrslbt/rippr,4,MIT,2026-07-10,deep_clone,MV3 extension plus MCP companion,"Page/player response and caption payload parsing across multiple formats",yes,"activeTab declarativeNetRequest plus YouTube and googlevideo hosts","Build surface inspected; no focused extractor suite used in this review",Parser and MCP handoff reference,reference_only,"Broader network authority than AI Brain needs"
focused_extension,helioLJ/youtube-transcript-copier,11,MIT,2025-08-06,deep_clone,MV3 content-script extension,Visible transcript-panel DOM using predominantly legacy selectors,yes,"clipboardWrite storage plus persistent YouTube content script","No automated tests found",Historical simple DOM implementation,reference_only,"Simple but selector coverage is behind current dual-renderer projects"
focused_extension,smartaces/yt-transcript-chrome-extension,5,NONE,2026-07-07,deep_clone,MV3 content-script extension,Modern transcript-panel DOM with Markdown export,yes,"storage tabs activeTab and persistent YouTube content script","No automated tests found",Modern selector comparison,read_only,"No license means no code reuse without permission"
focused_extension,Savecoders/YTranscripts,2,MIT,2026-05-07,deep_clone,MV3 React extension,"Transcript extraction with multiple editing and export formats",yes,"activeTab scripting tabs storage plus YouTube host","Tests exist; npm clean install failed from absent npm lock and peer conflict; pnpm install was blocked by ignored build scripts",Parser and export UX reference,reference_only,"Large UI dependency surface; reproducibility was weaker than the focused leaders"
companion_product,lifesized/youtube-transcriber,24,AGPL-3.0,2026-07-21,deep_clone,Full local or cloud app plus side-panel extension,"Fast-path modern and legacy DOM scrape then local/cloud service and ASR fallback",yes,"activeTab tabs storage sidePanel scripting nativeMessaging plus local cloud YouTube Spotify and Substack hosts","Repository has broad app validation; no isolated extension suite was run here",Extension-to-self-hosted-service architecture,patterns_only,"Closest full product pattern but AGPL and a much larger permission and operational surface"
companion_product,ryanbiddy/uoink,0,MIT,2026-07-20,deep_clone,Local-first PKM MCP service plus extension,"Site-specific extraction sent to a fixed localhost knowledge service",yes,"alarms clipboardWrite notifications storage contextMenus activeTab scripting offscreen plus site and localhost hosts","Large repository test surface inspected; not rerun end to end here",Best MIT companion and handoff architecture reference,selective_reference,"Closest product shape to AI Brain; extraction and multi-site scope are broader than needed"
service_handoff,jingsu96/linear-web-clipper,4,MIT,2026-02-22,deep_clone,MV3 side-panel web clipper,"Content script captures pages and YouTube transcripts then sends to Linear",yes,"sidePanel activeTab storage scripting all_urls content script and broad HTTPS host","Manifest and source inspected; no focused transcript validation run",External-service handoff and user-confirmation patterns,reference_only,"Useful transport pattern but all_urls is inappropriate for Brain's narrow YouTube feature"
service_handoff,jeffgreendesign/mdyoink,1,MIT,2026-06-08,deep_clone,MV3 action extension,"Page metadata and ytInitialPlayerResponse to Markdown",yes,"activeTab clipboardWrite downloads storage contextMenus scripting; no persistent hosts","Manifest and source inspected; no automated tests found",Small action-injected capture reference,reference_only,"Compact but player-response dependence is less desirable than visible DOM"
capture_platform,stigoleg/Context-Capture-Saver,0,MIT,2026-03-05,deep_clone,General-purpose local capture extension,"All-frame page capture with JSON and SQLite-oriented persistence",yes,"activeTab clipboardRead contextMenus notifications offscreen scripting storage plus all_urls","Large test and fixture surface present; not run here",Persistence observability and bounded-capture patterns,patterns_only,"Far too broad for AI Brain's least-privilege single purpose"
historical_extension,kazuki-sf/YouTube_Summary_with_ChatGPT,864,MIT,2023-01-11,deep_clone,MV3 content-script extension,Direct captionTracks access followed by ChatGPT handoff,yes,"YouTube and ChatGPT persistent content scripts","No current validation used; only 5 historical commits",Historical adoption signal,historical_only,"Popularity does not offset staleness and direct undocumented caption access"
focused_extension,andresz74/youtube-transcript-extension,10,NONE,2026-03-04,metadata_and_readme,Chrome extension,YouTube transcript extraction and export,unknown,Not deep-verified,Not deep-verified,Inventory comparison,read_only,"No detected license; not preferred over tested leaders"
focused_extension,sieis/YouTube-Transcripter-Chrome-Extension,4,MIT,2025-08-29,metadata_and_readme,Chrome extension,YouTube transcript extraction,unknown,Not deep-verified,Not deep-verified,Inventory comparison,deprioritized,"Small implementation with no evidence advantage over the leaders"
summary_extension,rclinux/youtube-summary,0,MIT,2026-07-14,metadata_and_readme,Chrome extension,Transcript capture followed by summarization,unknown,Not deep-verified,Not deep-verified,Inventory comparison,deprioritized,"Summarization product surface obscures the reusable extractor core"
summary_extension,jon-builds/distill,0,MIT,2026-04-16,metadata_and_readme,Browser extension or companion,YouTube content distillation and transcript workflow,unknown,Not deep-verified,Not deep-verified,Product-pattern comparison,deprioritized,"No stronger evidence than focused candidates"
focused_extension,kowsikratnagiri/VerbatimYT,1,MIT,2026-03-23,metadata_and_readme,Chrome extension,YouTube transcript capture and export,unknown,Not deep-verified,Not deep-verified,Inventory comparison,deprioritized,"Current but low-evidence alternative"
focused_extension,ladycui/youtube-transcript-downloader,1,NONE,2026-01-29,metadata_and_readme,Chrome extension,Transcript download,unknown,Not deep-verified,Not deep-verified,Inventory comparison,read_only,"No detected license"
focused_extension,mbogdan0/youtube-transcript,0,NONE,2026-07-03,metadata_and_readme,Chrome extension,YouTube transcript extraction,unknown,Not deep-verified,Not deep-verified,Inventory comparison,read_only,"No detected license and no evidence advantage"
focused_extension,zurgxx/YouTube-Transcript-Copy,0,MIT,2026-03-16,metadata_and_readme,Chrome extension,Transcript copy workflow,unknown,Not deep-verified,Not deep-verified,Inventory comparison,deprioritized,"Simple alternative with limited validation evidence"
focused_extension,johnpgr/yt-transcript-exporter,0,NONE,2026-05-22,metadata_and_readme,Chrome extension,Transcript export,unknown,Not deep-verified,Not deep-verified,Inventory comparison,read_only,"No detected license"
companion_product,somewisecrack/TubeScribe,0,MIT,2026-07-01,metadata_and_readme,Python-backed transcript product,Transcript capture and processing with a service boundary,unknown,Not deep-verified,Not deep-verified,Service architecture comparison,deprioritized,"Python and broader product scope do not fit the existing extension as well as uoink"
companion_product,Woodman11/reelm,0,MIT,2026-06-03,metadata_and_readme,Go-backed video knowledge product,Video transcript processing and companion workflow,unknown,Not deep-verified,Not deep-verified,Service architecture comparison,deprioritized,"Large cross-runtime scope"
summary_extension,kryczkal/yt-distiller,0,MIT,2026-06-02,metadata_and_readme,Browser extension,YouTube transcript distillation,unknown,Not deep-verified,Not deep-verified,Inventory comparison,deprioritized,"No extractor evidence advantage"
pipeline_reference,steipete/summarize,6467,MIT,2026-07-22,metadata_plus_prior_deep_review,CLI and application pipeline,"Layered web captions yt-dlp media local and cloud ASR with caching",no,"Not a Chrome extension","Extensive active repository; validated in the prior transcript landscape",Fallback architecture and normalization reference,architecture_only,"Strong architecture reference but not an extension seed and production source rules remain separate"
historical_extension,kausikk/youtube-summarizer,33,MIT,2021-06-10,metadata_and_readme,Older extension or app,YouTube transcript summarization,unknown,Not deep-verified,Not deep-verified,Historical comparison,historical_only,"Stale relative to 2026 YouTube DOM and MV3 requirements"
historical_extension,zhangted/youtube-transcript-gpt,13,GPL-3.0,2023-06-26,metadata_and_readme,Extension or web app,Transcript plus GPT workflow,unknown,Not deep-verified,Not deep-verified,Historical comparison,historical_only,"Stale and GPL-3.0"
summary_extension,2mawi2/tubetalk,4,MIT,2026-03-16,metadata_and_readme,Transcript chat extension,Transcript extraction followed by chat,unknown,Not deep-verified,Not deep-verified,Product-pattern comparison,deprioritized,"Large product surface relative to the extractor need"
summary_extension,adnjoo/summatube,18,MIT,2025-12-29,metadata_and_readme,Archived extension,YouTube transcript summarization,unknown,Not deep-verified,Not deep-verified,Historical comparison,historical_only,"Repository is archived"
summary_extension,skainguyen1412/youtube-summary-free-extension,8,NONE,2025-12-15,metadata_and_readme,Browser extension,Transcript extraction followed by summarization,unknown,Not deep-verified,Not deep-verified,Inventory comparison,read_only,"No detected license and broader AI surface"
summary_extension,chirag127/YouTube-AI-Navigator-Browser-Extension,3,MIT,2026-07-04,metadata_and_readme,Browser extension,YouTube transcript navigation and AI features,unknown,Not deep-verified,Not deep-verified,Transcript-navigation UX reference,deprioritized,"Useful UX category but no foundation advantage"
summary_extension,0xdaksh-12/FluxAsker,0,MIT,2026-04-21,metadata_and_readme,Browser extension,Page or video context capture for AI queries,unknown,Not deep-verified,Not deep-verified,Context handoff reference,deprioritized,"Not a focused transcript extractor"
capture_platform,sujalmeena7/ContextBridge,0,NONE,2026-05-20,metadata_and_readme,Browser context companion,Page context capture and AI handoff,unknown,Not deep-verified,Not deep-verified,Context handoff reference,read_only,"No detected license and not transcript-focused"
vendor_extension,xwchris/video-transcribe-chrome-extension,1,NONE,2026-07-13,metadata_and_readme,Vendor-connected Chrome extension,Video transcript sent to an external transcription service,unknown,Not deep-verified,Not deep-verified,Hosted-service comparison,reject,"No detected license and creates an unnecessary third-party data path"
userscript,amirthfultehrani/Youtube-Transcript-Copier,19,MIT,2026-01-25,metadata_and_readme,Userscript,Visible-page transcript copy workflow,no,"Runs with userscript manager grants","No test evidence used",Low-complexity selector and interaction reference,reference_only,"Useful for understanding the minimum flow but weaker packaging and trust model than the existing extension"
userscript,hruzgar/TubeScriptCopy,5,MIT,2026-04-22,metadata_and_readme,Userscript,YouTube transcript copy workflow,no,"Userscript grants not deep-verified","No test evidence used",Low-complexity interaction reference,reference_only,"No reason to introduce a second installation mechanism for AI Brain"
userscript,TimMacy/YouTubeAlchemy,94,AGPL-3.0,2026-07-21,metadata_and_readme,Feature-rich userscript,YouTube transcript and page enhancement,no,"Userscript grants not deep-verified","No test evidence used",Current userscript ecosystem reference,patterns_only,"Active and popular but AGPL and broad feature scope"
userscript,umitaltintas/subscribe,7,MIT,2026-05-20,metadata_and_readme,Userscript,YouTube transcript-related page enhancement,no,"Userscript grants not deep-verified","No test evidence used",Inventory comparison,deprioritized,"Not a stronger foundation than focused extensions"
userscript,vedran-/YouTube-Transcript-Assistant,1,MIT,2026-04-10,metadata_and_readme,Userscript,Transcript assistant workflow,no,"Userscript grants not deep-verified","No test evidence used",Inventory comparison,deprioritized,"Small low-evidence alternative"
userscript,dioogosilv/youtube-transcript-md-downloader,1,MIT,2026-06-10,metadata_and_readme,Userscript,Transcript-panel to Markdown download,no,"Userscript grants not deep-verified","No test evidence used",Markdown formatting reference,reference_only,"Tiny implementation; use concepts rather than a parallel userscript product"
caption_extension,warren-bank/crx-Youtube-subtitles,0,GPL-2.0,2025-02-01,metadata_and_readme,Cross-browser extension,YouTube subtitle download and handling,unknown,Not deep-verified,Not deep-verified,Subtitle ecosystem reference,patterns_only,"GPL-2.0 and subtitle-download focus"
caption_extension,anassk01/youtube-multi-subtitle-downloader,7,MIT,2025-02-18,metadata_and_readme,Chrome extension,Multiple YouTube subtitle track download,unknown,Not deep-verified,Not deep-verified,Track-selection UX reference,reference_only,"Useful adjacent behavior but not a tested AI Brain foundation"
caption_extension,ADengrc/youtube-captions,252,MIT,2020-06-12,metadata_and_readme,Older Chrome extension,YouTube captions display or download,unknown,Not deep-verified,Not deep-verified,Historical subtitle reference,historical_only,"High historical adoption but stale for current DOM and MV3"
caption_extension,hugepizza/youtube2anki,12,Apache-2.0,2025-11-03,metadata_and_readme,Chrome extension,Caption segments converted into Anki study material,unknown,Not deep-verified,Not deep-verified,Segment-selection UX reference,reference_only,"Adjacent learning workflow rather than a Brain capture foundation"
